words,mode,DCG,total_RFM,Var_TRFM
규모,4,5.144665059,108.4900906,0.528560148
관리,1,18.43270123,99.39406302,16.63022764
관리,2,18.9941932,99.39406302,129.774135
관리,3,19.10046668,99.39406302,1.38534E+12
관리,4,19.08782614,99.39406302,20463.83031
친구,1,7.637552727,107.8895457,13.44278757
친구,2,7.566857013,112.2109743,16.20824476
친구,3,7.596971818,112.2109743,4949.458884
친구,4,7.637883239,107.8895457,23.53391171
지출,1,15.62296426,113.4384589,31.0268941
지출,2,15.91318746,113.4384589,159.6628559
지출,3,15.91749675,113.4384589,31946384164
지출,4,15.91878762,113.4384589,11782.41332
발생,1,6.079000739,108.1208238,29.44827766
발생,2,6.116863596,115.6208238,20.31699261
발생,3,6.124233146,115.6208238,6733.2542
발생,4,6.12915444,114.0271396,31.73369572
요소,1,5.940228485,103.0032377,12.72585392
요소,2,5.808862204,112.5512377,14.26909211
요소,3,5.895400503,107.9532377,1312.889792
요소,4,5.940228485,103.0032377,9.305583022
회계,1,96.40724253,102.7700476,58.6778482
회계,2,96.6985276,102.7700476,4418.096204
회계,3,96.77963165,102.7700476,8.86E+63
회계,4,96.58341054,102.7700476,3936968390
서울,1,20.18358525,109.7812581,65.44384299
서울,2,20.15630052,110.7812581,483.0980274
서울,3,20.20717566,109.7812581,8.39E+16
서울,4,20.21874642,108.7279247,206553.0217
시장,1,8.817447211,113.6162406,5.788896263
시장,2,8.735943289,117.0362406,10.77673943
시장,3,8.817447211,113.6162406,7730.779188
시장,4,8.829468415,113.6162406,27.45057832
증가,1,7.821063616,97.43051948,17.50944474
증가,2,7.307194184,107.1305195,17.8357075
증가,3,7.802421785,97.43051948,9617.8477
증가,4,7.881249216,97.43051948,36.3605846
노동자,1,13.52771767,97.30586436,45.70702741
노동자,2,13.28763275,102.8058644,184.1020651
노동자,3,13.51593255,97.30586436,6.43642E+11
노동자,4,13.53828489,97.30586436,10156.67277
소비자,1,19.50189083,108.493972,49.2480485
소비자,2,19.50189083,108.493972,452.0343611
소비자,3,19.6007692,105.6132403,1.26E+17
소비자,4,19.6007692,105.6132403,235196.3624
일반,1,6.733399393,94.37292208,58.01067509
일반,2,6.374086997,114.8562959,96.39909764
일반,3,6.687988797,103.866943,2717527.141
일반,4,6.762289863,98.88625541,652.995893
재산,1,9.932772109,98.2570456,68.06548462
재산,2,10.0707078,100.7570456,168.2244799
재산,3,10.08458689,100.7570456,19582047.05
재산,4,10.11133742,98.2570456,1760.50345
무역,1,46.61373911,111.506242,357.8198198
무역,2,46.61373911,111.506242,8678.325722
무역,3,46.61373911,111.506242,9.52E+55
무역,4,46.61373911,111.506242,660743279
은행,1,14.14116311,110.1772516,42.37100228
은행,2,13.99481725,114.6505849,150.6326754
은행,3,14.27621644,110.1772516,763318599.4
은행,4,14.27871395,110.1772516,4911.599543
대표,1,18.60440662,108.1386667,129.7779748
대표,2,18.59196463,108.1386667,921.6590785
대표,3,18.61125622,108.1386667,3.94E+16
대표,4,19.03303883,100.0866667,415920.9712
국민,1,6.529773385,115.9071644,10.72613061
국민,2,6.284885694,118.02,12.77909835
국민,3,6.529773385,115.9071644,588.0730191
국민,4,6.529773385,115.9071644,5.533191625
현장,1,9.950437666,110.9843083,36.17538233
현장,2,9.820977971,116.116073,118.1292672
현장,3,9.882226609,114.6193083,958739798.7
현장,4,9.962122403,110.9843083,4120.030699
연구,1,8.519095393,113.8760047,76.72808348
연구,2,8.399306575,116.8085047,203.3951114
연구,3,8.513610745,113.8760047,1063220082
연구,4,8.519095393,113.8760047,6292.818844
결정,1,10.32915662,103.9464814,59.02685696
결정,2,10.28070152,108.1464814,169.0683324
결정,3,10.28715371,108.1464814,7955883775
결정,4,10.32919472,103.9464814,7075.341484
손실,1,7.490308237,110.4317491,14.60770254
손실,2,7.400153354,116.7477491,18.86162044
손실,3,7.482321193,113.2077491,10742.44754
손실,4,7.490308237,110.4317491,37.00848803
구매,1,9.947670994,99.06267068,19.64271745
구매,2,9.900377158,100.7176707,40.77191436
구매,3,10.00925374,99.06267068,126024.2704
구매,4,10.01263109,99.06267068,191.308083
단계,1,12.85503313,105.7253692,8.433354303
단계,2,12.92242559,105.7253692,24.91102515
단계,3,12.94050138,105.7253692,2008649.938
단계,4,12.97626245,101.9938475,437.7506413
지금,1,4.467070972,108.0571834,30.39379936
지금,2,4.489507747,113.8532813,6.416034834
지금,3,4.497760077,113.8532813,44.46437481
지금,4,4.503092583,112.8000405,1.181749487
원,1,9.234850146,103.3034603,17.28260917
원,2,9.222176353,103.3034603,36.05357499
원,3,9.247331525,103.3034603,561828.7411
원,4,9.256014213,103.3034603,262.195987
중국,1,20.53674352,113.3672715,100.7477221
중국,2,20.51494814,113.3672715,903.8821404
중국,3,20.56733207,113.3672715,1.30E+18
중국,4,20.56733207,113.3672715,918408.2255
관점,1,6.061178562,98.74211699,16.93317249
관점,2,5.487424444,113.9503746,17.18264699
관점,3,5.985139665,105.0303746,602.300383
관점,4,6.207577531,98.74211699,4.876357581
비판,1,3.78209759,100.7691019,11.63217104
비판,2,3.678875054,103.1331688,3.287068706
비판,3,3.739134102,103.1331688,4.665547614
비판,4,3.804516633,103.1331688,0.113574927
종목,1,13.29556986,111.526682,11.52800978
종목,2,13.17807695,114.4900153,41.23593365
